pagina,id,titulo,link,tipologia,estado,tamanho,preco,preco_antigo,desconto,preco_por_metro,localizacao,data_publicacao
2,20,"Ver Apartamento T3 para comprar na Amadora, Águas Livres",https://casa.sapo.pt/comprar-apartamento-t3-amadora-aguas-livres-d2d5b1e2-6b93-11f0-8add-060000000054.html,T3,Usado,110.0,349000.0,,,3172.73,"Águas Livres, Amadora, Distrito de Lisboa",
2,21,"Ver Apartamento T3 para comprar na Amadora, Venteira",https://casa.sapo.pt/comprar-apartamento-t3-amadora-venteira-8f86e0c6-8d8e-11f0-8add-060000000054.html,T3,Renovado,82.0,295000.0,,,3597.56,"Venteira, Amadora, Distrito de Lisboa",
2,22,"Ver Apartamento T3 para comprar na Amadora, Venteira",https://casa.sapo.pt/comprar-apartamento-t3-amadora-venteira-762bf1e8-9228-11f0-8add-060000000054.html,T3,Usado,136.0,590000.0,,,4338.24,"Venteira, Amadora, Distrito de Lisboa",
2,23,"Ver Apartamento T2 para comprar na Amadora, Venteira",https://casa.sapo.pt/comprar-apartamento-t2-amadora-venteira-4222d373-87e3-11f0-8add-060000000054.html,T2,Usado,100.0,265000.0,,,2650.0,"Venteira, Amadora, Distrito de Lisboa",
2,24,"Ver Apartamento T3 para comprar na Amadora, Águas Livres",https://casa.sapo.pt/comprar-apartamento-t3-amadora-aguas-livres-9b27ae5a-7c5d-11f0-b3d3-060000000057.html,T3,Renovado,110.0,349000.0,,,3172.73,"Águas Livres, Amadora, Distrito de Lisboa",
2,25,"Ver Apartamento T1 para comprar na Amadora, Falagueira-Venda Nova, Bairro do Bosque (Falagueira)",https://casa.sapo.pt/comprar-apartamento-t1-amadora-falagueira-venda-nova-bairro-do-bosque-(falagueira)-2a00bdcb-1019-11ee-aeeb-060000000051.html,T1,Usado,35.0,5000054000741.0,,,142858685735.46,"Bairro do Bosque (Falagueira), Falagueira-Venda Nova, Amadora, Distrito de Lisboa",
3,1,"Ver Apartamento T3 para comprar na Amadora, Águas Livres",https://casa.sapo.pt/comprar-apartamento-t3-amadora-aguas-livres-0190aa41-2693-11f0-8add-060000000054.html,T3,Recuperado,98.0,349000.0,,,3561.22,"Águas Livres, Amadora, Distrito de Lisboa",
3,2,"Ver Apartamento T2 para comprar na Amadora, Falagueira-Venda Nova",https://casa.sapo.pt/comprar-apartamento-t2-amadora-falagueira-venda-nova-52390576-9008-11f0-8add-060000000054.html,T2,Usado,82.0,320000.0,,,3902.44,"Falagueira-Venda Nova, Amadora, Distrito de Lisboa",
3,3,"Ver Apartamento T2 para comprar na Amadora, Águas Livres",https://casa.sapo.pt/comprar-apartamento-t2-amadora-aguas-livres-4893d37d-6400-11f0-8add-060000000054.html,T2,Usado,80.0,220000.0,,,2750.0,"Águas Livres, Amadora, Distrito de Lisboa",
3,4,"Ver Apartamento T3 para comprar na Amadora, Encosta do Sol, Colina do Sol (Alfornelos)",https://casa.sapo.pt/comprar-apartamento-t3-amadora-encosta-do-sol-colina-do-sol-(alfornelos)-2362d0ea-ac01-11ef-9e0e-060000000057.html,T3,Recuperado,124.0,385000.0,,,3104.84,"Colina do Sol (Alfornelos), Encosta do Sol, Amadora, Distrito de Lisboa",
